,single agent,2 agents,2 agents probe,3 agents,3 agents probe,,,
0,T,missing,missing,T,F,,,
1,T,missing,missing,T,T,,,
2,T,missing,missing,T,T,,,
3,T,missing,missing,T,F,,,
4,T,missing,T,T,T,,,
5,F,missing,T,F,F,,,
6,F,F,missing,F,F,,,
7,T,T,missing,T,T,,,
8,T,missing,missing,F,F,,,
9,T,missing,missing,F,T,,,
10,F,missing,missing,F,F,,,
11,T,missing,missing,T,T,,,
12,T,T,T,T,T,,,
13,T,missing,missing,T,T,,,
14,T,missing,missing,T,T,,,
15,F,missing,missing,T,T,,,
16,T,missing,missing,T,T,,,
17,T,missing,missing,T,T,,,
18,T,missing,missing,T,T,,,
19,T,missing,missing,F,T,,,
20,T,T,missing,F,T,,,
21,T,missing,missing,T,T,,,
22,T,missing,missing,T,T,,,
23,T,missing,missing,T,T,,,
24,T,missing,missing,T,T,,,
25,T,missing,T,T,T,,,
26,T,T,T,T,T,,,
27,T,T,missing,T,T,,,
28,T,T,missing,T,T,,,
29,T,missing,missing,T,T,,,
30,T,T,missing,T,T,,,
31,T,missing,missing,T,F,,,
32,T,missing,T,T,T,,,
33,T,missing,T,T,T,,,
34,T,missing,missing,T,T,,,
35,T,missing,missing,T,T,,,
36,T,missing,missing,T,T,,,
37,T,missing,missing,T,T,,,
38,T,missing,T,T,T,,,
39,T,T,T,T,T,,,
40,T,missing,missing,T,T,,,
41,T,T,missing,T,T,,,
42,T,missing,missing,T,T,,,
43,T,T,missing,T,T,,,
44,T,missing,missing,T,T,,,
45,F,missing,missing,F,T,,,
46,T,T,missing,T,T,,,
47,T,missing,missing,T,T,,,
48,T,T,missing,T,T,,,
49,T,missing,missing,F,T,,,
50,T,missing,missing,T,F,,,
51,T,missing,T,T,T,,,
52,T,T,missing,T,T,,,
53,T,missing,missing,T,T,,,
54,T,missing,missing,F,T,,,
55,T,missing,missing,T,T,,,
56,T,missing,T,T,T,,,
57,T,missing,T,T,T,,,
58,T,T,T,T,T,,,
59,T,missing,missing,T,T,,,
60,F,missing,T,T,T,,,
61,F,missing,missing,F,F,,,
62,T,T,missing,T,F,,,
63,T,T,missing,T,T,,,
64,T,missing,missing,T,T,,,
65,T,T,missing,T,T,,,
66,T,missing,missing,F,T,,,
67,T,missing,T,T,T,,,
68,F,missing,missing,T,T,,,
69,T,missing,missing,T,T,,,
70,T,missing,missing,T,T,,,
71,T,missing,missing,T,T,,,
72,T,missing,missing,F,F,,,
73,T,missing,T,missing,T,,,
74,T,missing,missing,T,T,,,
75,T,missing,missing,T,T,,,
76,T,missing,missing,T,T,,,
77,T,missing,missing,T,F,,,
78,T,T,missing,T,T,,,
79,T,missing,missing,T,T,,,
80,T,T,missing,T,T,,,
81,T,missing,missing,T,T,,,
82,T,missing,missing,T,T,,,
83,T,missing,T,T,T,,,
84,T,missing,missing,T,T,,,
85,T,missing,missing,T,T,,,
86,T,missing,T,T,T,,,
87,T,missing,missing,T,T,,,
88,T,T,missing,T,T,,,
89,T,missing,missing,F,F,,,
90,T,missing,missing,T,T,,,
91,T,missing,missing,T,T,,,
92,T,F,F,F,F,,,
93,T,missing,missing,T,T,,,
94,T,missing,missing,T,T,,,
95,T,missing,missing,T,T,,,
96,T,missing,missing,T,T,,,
97,T,missing,missing,F,F,,,
98,T,F,missing,F,T,,,
99,T,missing,missing,T,T,,,
