id,question,answer,answerable,category,relevant_ids,source,single_agent,feedback1,two_agents,three_agents
1,Bryan took a look at his books and magazines. If he has 9 books and 46 magazines in each of his 10 bookshelves.How many magazines does he have in total?,[460.0],True,,,SVAMP,,,,
2,3 birds were sitting on the fence. 2 more birds and 6 more storks came to join them..How many more storks than birds are sitting on the fence?,[1.0],True,,,SVAMP,,,,
3,Randy has 58 blocks. He uses 27 blocks to build a tower and 53 blocks to build a house..How many blocks did he use to build the tower and the house altogether?,[80.0],True,,,SVAMP,,,,
4,Dave had 17 apps and 21 files on his phone. After deleting some apps and files he had 3 apps and 7 files left..How many files did he delete?,[14.0],True,,,SVAMP,,,,
5,Haley grew 14 trees in her backyard. After a typhoon 9 died..How many more trees died in the typhoon than those that survived?,[4.0],True,,,SVAMP,,,,
6,Adam has 10 apples. Jackie has 2 apples..How many more apples does Adam have than Jackie?,[8.0],True,,,SVAMP,,,,
7,The Razorback shop makes $ 210 dollars off each jersey and $ 240 off each shirt. During the Arkansas and Texas tech game they sold 177 shirts and 23 jerseys..How much more does a shirt cost than a jersey?,[30.0],True,,,SVAMP,,,,
8,Jerry had 4 action figures and 22 books on a shelf in his room. Later he added 6 more action figures to the shelf..How many action figures were on his shelf in all?,[10.0],True,,,SVAMP,,,,
9,Jerry had some action figures on a shelf in his room. Later he added 2 more action figures to the shelf and removed 7 of the old ones. If there are 10 action figures on his shelf now.How many action figures did he have initially on the shelf?,[15.0],True,,,SVAMP,,,,
10,Bobby ate 23 pieces of candy. If he initially had 30 pieces of candy.How many pieces of candy does he still have left?,[7.0],True,,,SVAMP,,,,
11,In Haley's class some boys love to play marbles. Haley gives 2 marbles to each boy. If she had 28 marbles.How many boys did she give the marbles to?,[14.0],True,,,SVAMP,,,,
12,You have 104 dollars..How many packs of DVD can you buy if each pack costs 26 dollars?,[4.0],True,,,SVAMP,,,,
13,Rachel has 52 apple trees. She picked 2 apples from 1 of her trees. Now the tree has 7 apples still on it..How many apples did the tree have to begin with?,[9.0],True,,,SVAMP,,,,
14,Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu.How many more students suggested bacon than those that suggested mashed potatoes?,[10.0],True,,,SVAMP,,,,
15,Frank was reading through his favorite book. He read 8 pages per day. If the book had 576 pages.How many days did he take to finish the book?,[72.0],True,,,SVAMP,,,,
16,Ed had 30 more marbles than Doug. Ed lost 21 of his marbles at the playground. If Ed had 91 marbles.How many more marbles did Ed have than Doug then?,[9.0],True,,,SVAMP,,,,
17,Faye was placing her pencils and crayons into 16 rows with 6 crayons and 21 pencils in each row..How many crayons does she have?,[96.0],True,,,SVAMP,,,,
18,Paul got a box of 440 crayons for his birthday. During the school year he gave 111 crayons to his friends while he lost 106 crayons..How many crayons did he have left?,[223.0],True,,,SVAMP,,,,
19,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 32 crackers and 98 cakes initially.How many crackers did each person eat?,[8.0],True,,,SVAMP,,,,
20,Mary is baking a cake. The recipe calls for 12 cups of flour and 13 cups of sugar. She already put in 2 cups of sugar..How many more cups of sugar does she need to add?,[11.0],True,,,SVAMP,,,,
21,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus..How many more children got on the bus than those that got off?,[2.0],True,,,SVAMP,,,,
22,Every day Ryan spends 6 hours on learning english and 5 hours on learning Chinese. If he learns for 2 days.How many hours does he spend on learning english in all?,[12.0],True,,,SVAMP,,,,
23,Robin cut off 20 inches of his hair. If his hair is now 10 inches long.How long was his hair before he cut?,[30.0],True,,,SVAMP,,,,
24,Brenda's mother made cookies for 14. If each of them had 30 cookies.How many cookies did she prepare?,[420.0],True,,,SVAMP,,,,
25,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now.How many action figures did he remove from the shelf?,[1.0],True,,,SVAMP,,,,
26,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection..How many more wrappers than bottle caps did Danny find at the park?,[60.0],True,,,SVAMP,,,,
27,Lewis earns $ 21 every week during the 216 weeks of harvest. If he has to pay $ 702 tax.How much money will have at the end of the harvest season?,[3834.0],True,,,SVAMP,,,,
28,Robin's hair was 17 inches long. He cut off some inches of her hair. If his hair is now 13 inches long.How much of his hair did he cut?,[4.0],True,,,SVAMP,,,,
29,Next on his checklist is wax to stick the feathers together. If he has 557 g of wax and right now he just needs 17 g.Total how many grams of wax do the feathers require?,[574.0],True,,,SVAMP,,,,
30,Each pack of DVD costs 107 dollars. If there is a discount of 106 dollars on each pack.How many packs of DVD can you buy with 93 dollars?,[93.0],True,,,SVAMP,,,,
31,White shirts can be purchased in packages. If mom buys 66 white shirts where each package has 3 white shirts..How many packages will she have?,[22.0],True,,,SVAMP,,,,
32,"Jack received 5 emails in the morning, 8 emails in the afternoon and 72 emails in the evening..How many emails did Jack receive in the morning and afternoon?",[13.0],True,,,SVAMP,,,,
33,A waiter had 3 customers. After some left he still had 4 customers..How many more customers stayed behind than those that left?,[5.0],True,,,SVAMP,,,,
34,Adam could fit 11 action figures on each shelf in his room. His room has 4 shelves and 40 cabinets..How many total action figures could his shelves hold?,[44.0],True,,,SVAMP,,,,
35,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now.How many action figures did he have initially on the shelf?,[3.0],True,,,SVAMP,,,,
36,An industrial machine made 13 shirts yesterday and 3 shirts today. It can make 8 shirts a minute..How many minutes did the machine work in all?,[2.0],True,,,SVAMP,,,,
37,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening..How many emails did Jack receive in the afternoon and evening?",[13.0],True,,,SVAMP,,,,
38,Nell collects baseball cards. She had 242 cards. She gave 136 of her cards to Jeff..How many cards does Nell have left?,[106.0],True,,,SVAMP,,,,
39,Katie had 62 new games and 80 old games. Her friends had 73 new games and 41 old games..How many old games do they have 3,[121.0],True,,,SVAMP,,,,
40,Baker made 43 cakes and 114 pastries. If he sold 154 pastries and 78 cakes.How many more pastries than cakes did baker sell?,[76.0],True,,,SVAMP,,,,
